Timestamp,SnapshotIndex,ModbusValid,DAQValid,DAQRunning,ECUValid,Modbus_0,Modbus_1,Modbus_2,DAQ_0,DAQ_1,DAQ_2,DAQ_3,DAQ_4,ECU_Throttle,ECU_EngineSpeed,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_AxleTemp,ECU_FuelPressure,ECU_IntakeTemp,ECU_AtmPressure,ECU_FlightTime
0.000,1,0,0,0,0,,,,,,,,,,,,,,,,,
0.100,2,0,0,0,0,,,,,,,,,,,,,,,,,
0.200,3,0,0,0,0,,,,,,,,,,,,,,,,,
0.300,4,0,1,1,0,,,,-0.018592,-0.023525,-0.023525,0.001141,-0.018592,,,,,,,,,
0.400,5,0,1,1,0,,,,-0.018592,-0.023525,-0.028458,0.001141,-0.018592,,,,,,,,,
0.500,6,0,1,1,0,,,,-0.013659,-0.018592,-0.023525,-0.003792,-0.018592,,,,,,,,,
0.600,7,0,1,1,0,,,,-0.018592,-0.023525,-0.023525,-0.003792,-0.018592,,,,,,,,,
0.800,8,0,1,1,0,,,,-0.018592,-0.023525,-0.023525,0.001141,-0.013659,,,,,,,,,
0.900,9,0,1,1,0,,,,-0.018592,-0.023525,-0.023525,0.001141,-0.018592,,,,,,,,,
1.000,10,0,1,1,0,,,,-0.018592,-0.023525,-0.023525,0.001141,-0.013659,,,,,,,,,
1.100,11,0,1,1,0,,,,-0.018592,-0.023525,-0.023525,0.001141,-0.018592,,,,,,,,,
1.200,12,0,1,1,0,,,,-0.018592,-0.023525,-0.023525,-0.003792,-0.018592,,,,,,,,,
1.400,13,0,1,1,0,,,,-0.018592,-0.023525,-0.023525,-0.003792,-0.018592,,,,,,,,,
1.500,14,0,1,1,0,,,,-0.018592,-0.023525,-0.023525,0.001141,-0.018592,,,,,,,,,
1.600,15,0,1,1,0,,,,-0.018592,-0.018592,-0.023525,0.001141,-0.018592,,,,,,,,,
1.800,16,0,1,1,0,,,,-0.018592,-0.018592,-0.018592,0.001141,-0.018592,,,,,,,,,
1.900,17,0,1,1,0,,,,-0.018592,-0.018592,-0.018592,-0.003792,-0.018592,,,,,,,,,
2.000,18,0,1,1,0,,,,-0.013659,-0.018592,-0.018592,0.001141,-0.018592,,,,,,,,,
2.100,19,0,1,1,0,,,,-0.018592,-0.018592,-0.013659,-0.003792,-0.018592,,,,,,,,,
2.200,20,0,1,1,0,,,,-0.018592,-0.018592,-0.018592,0.001141,-0.018592,,,,,,,,,
2.300,21,0,1,1,0,,,,-0.013659,-0.018592,-0.013659,0.001141,-0.018592,,,,,,,,,
2.400,22,0,1,1,0,,,,-0.013659,-0.018592,-0.013659,0.001141,-0.018592,,,,,,,,,
2.500,23,0,1,1,0,,,,-0.018592,-0.023525,-0.013659,0.001141,-0.018592,,,,,,,,,
2.600,24,0,1,1,0,,,,-0.018592,-0.018592,-0.013659,0.001141,-0.013659,,,,,,,,,
2.700,25,0,1,1,0,,,,-0.013659,-0.018592,-0.013659,-0.008726,-0.013659,,,,,,,,,
2.800,26,0,1,1,0,,,,-0.013659,-0.018592,-0.008726,0.001141,-0.018592,,,,,,,,,
2.900,27,0,1,1,0,,,,-0.013659,-0.018592,-0.013659,0.001141,-0.018592,,,,,,,,,
3.100,28,0,1,1,0,,,,-0.013659,-0.018592,-0.013659,-0.003792,-0.018592,,,,,,,,,
3.200,29,0,1,1,0,,,,-0.013659,-0.018592,-0.008726,-0.003792,-0.013659,,,,,,,,,
3.300,30,0,1,1,0,,,,-0.013659,-0.018592,-0.013659,0.001141,-0.018592,,,,,,,,,
