Timestamp,SnapshotIndex,ModbusValid,DAQValid,DAQRunning,ECUValid,Modbus_0,Modbus_1,Modbus_2,DAQ_0,DAQ_1,DAQ_2,DAQ_3,DAQ_4,ECU_Throttle,ECU_EngineSpeed,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_AxleTemp,ECU_FuelPressure,ECU_IntakeTemp,ECU_AtmPressure,ECU_FlightTime,Custom_0,Custom_1,Custom_2,Custom_3,Custom_4
0.000,1,0,0,0,0,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000
0.100,2,0,0,0,1,,,,,,,,,46.60,4667.00,76.00,820.00,48.00,372.00,24.00,56.00,19.00,0.0000,0.0000,0.0000,0.0000,0.0000
0.200,3,0,0,0,1,,,,,,,,,46.60,4667.00,76.00,820.00,48.00,372.00,24.00,56.00,19.00,0.0000,0.0000,0.0000,0.0000,0.0000
0.300,4,0,1,1,1,,,,-0.003792,-0.008726,-0.003792,0.015940,-0.003792,41.70,4171.00,64.00,730.00,38.00,332.00,18.00,50.00,19.00,-1.5814,-36.3946,-0.2427,0.0000,0.0000
0.400,5,0,1,1,1,,,,-0.003792,-0.008726,-0.008726,0.020874,-0.003792,36.80,3683.00,54.00,640.00,28.00,294.00,10.00,44.00,19.00,-1.3956,-32.1365,-0.4712,0.0000,0.0000
0.500,6,0,1,1,1,,,,-0.018592,-0.023525,-0.018592,0.011007,-0.003792,32.00,3208.00,42.00,555.00,20.00,256.00,4.00,38.00,19.00,-5.9495,-75.4690,-0.7809,0.0000,0.0000
0.600,7,1,1,1,1,26.6500,26.9555,26.4400,-0.008726,-0.013659,-0.013659,0.011007,-0.003792,27.50,2751.00,32.00,470.00,12.00,220.00,-2.00,33.00,19.00,-2.3995,-37.5754,-0.4371,0.0000,0.0000
0.700,8,1,1,1,1,26.6500,26.9525,26.4345,-0.003792,-0.008726,-0.013659,0.015940,-0.003792,23.10,2316.00,22.00,390.00,4.00,184.00,-8.00,27.00,19.00,-0.8760,-20.2085,-0.3005,0.0000,0.0000
0.800,9,1,1,1,1,26.6500,26.9510,26.4319,0.001141,-0.003792,-0.003792,0.015940,-0.003792,19.00,1908.00,12.00,315.00,-4.00,152.00,-14.00,22.00,19.00,0.2168,-7.2359,-0.0455,0.0000,0.0000
0.900,10,1,1,1,1,26.6500,26.9505,26.4309,-0.003792,-0.008726,-0.013659,0.015940,-0.003792,15.30,1532.00,4.00,245.00,-12.00,122.00,-20.00,18.00,19.00,-0.5802,-13.3676,-0.0546,0.0000,0.0000
1.000,11,1,1,1,1,26.6522,26.9502,26.4370,-0.008726,-0.013659,-0.018592,0.006074,-0.003792,11.90,1189.00,-4.00,185.00,-18.00,94.00,-24.00,14.00,19.00,-1.0383,-16.2403,0.0744,0.0000,0.0000
1.100,12,1,1,1,1,26.6568,26.9501,26.4387,-0.008726,-0.013659,-0.018592,0.011007,-0.003792,8.80,885.00,-10.00,130.00,-24.00,70.00,-28.00,10.00,19.00,-0.7679,-12.0881,0.1859,0.0000,0.0000
1.200,13,1,1,1,1,26.6531,26.9500,26.4394,-0.008726,-0.013659,-0.018592,0.011007,-0.008726,6.20,622.00,-16.00,80.00,-30.00,48.00,-32.00,7.00,19.00,-0.5410,-8.4958,0.2975,0.0000,0.0000
1.300,14,1,1,1,1,26.6571,26.9541,26.4398,-0.003792,-0.008726,-0.008726,0.011007,-0.003792,4.00,403.00,-22.00,40.00,-34.00,32.00,-36.00,4.00,19.00,-0.1517,-3.5164,0.1920,0.0000,0.0000
1.400,15,1,1,1,1,26.6588,26.9575,26.4399,-0.003792,-0.008726,-0.018592,0.025807,-0.003792,4.00,403.00,-22.00,40.00,-34.00,32.00,-36.00,4.00,19.00,-0.1517,-3.5164,0.4090,0.0000,0.0000
1.500,16,1,1,1,1,26.6594,26.9589,26.4400,0.001141,-0.003792,-0.003792,0.011007,0.001141,2.20,229.00,-26.00,10.00,-36.00,18.00,-38.00,2.00,19.00,0.0251,-0.8685,0.0986,0.0000,0.0000
1.700,17,1,1,1,1,26.6599,26.9598,26.4400,-0.003792,-0.008726,-0.013659,0.006074,-0.003792,0.20,27.00,-30.00,-30.00,-40.00,2.00,-40.00,0.00,19.00,-0.0076,-0.2356,0.4098,0.0000,0.0000
1.800,18,1,1,1,1,26.6644,26.9599,26.4400,-0.003792,-0.013659,-0.018592,0.011007,-0.003792,0.00,0.00,-30.00,-30.00,-40.00,0.00,-40.00,0.00,19.00,0.0000,0.0000,0.5578,0.0000,0.0000
